Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,1463.679046
TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,NRT,2279,Japan,Tokyo,Narita International Airport,35.76470184,140.3860016,9,U,2181.019857
TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,3222.382884
TSN,3368,China,Tianjin,Tianjin Binhai International Airport,39.12440109,117.3460007,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,4413.764704
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,3420.93475
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,1942.485633
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,LBD,6147,Tajikistan,Khudzhand,Khudzhand Airport,40.2154007,69.69470215,5,U,1783.272408
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,NMA,6150,Uzbekistan,Namangan,Namangan Airport,40.98460007,71.55670166,5,U,1754.332921
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,OSS,2913,Kyrgyzstan,Osh,Osh Airport,40.60900116,72.79329681,6,U,1832.46625
CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,TAS,2983,Uzbekistan,Tashkent,Tashkent International Airport,41.25790024,69.28119659,5,U,1662.234408
DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,3420.93475
DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,PEE,2973,Russia,Perm,Bolshoye Savino Airport,57.91450119,56.02119827,5,N,3672.084483
DWC,8076,United Arab Emirates,Dubai,Al Maktoum International Airport,24.896356,55.161389,4,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,3570.179343
DXB,2188,United Arab Emirates,Dubai,Dubai International Airport,25.25279999,55.36439896,4,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,3528.696614
DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,CEK,2968,Russia,Chelyabinsk,Chelyabinsk Balandino Airport,55.305801,61.5033,5,N,1942.485633
DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,KJA,4374,Russia,Krasnoyarsk,Yemelyanovo Airport,56.172901,92.493301,7,N,2623.448138
DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,2107.666729
DYU,2979,Tajikistan,Dushanbe,Dushanbe Airport,38.54330063,68.82499695,5,U,UFA,2992,Russia,Ufa,Ufa International Airport,54.55749893,55.87440109,5,N,2030.170225
EVN,3964,Armenia,Yerevan,Zvartnots International Airport,40.14730072,44.39590073,4,E,SVX,2975,Russia,Yekaterinburg,Koltsovo Airport,56.74309921,60.80270004,5,N,2194.243363
